name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
4025-55350-449,14:31:33.30,-00:44:54.17,0.44,2.45,19.87,50.63,2.10,1.97,136.10,0.38,$\rm C^{\star}$
4192-55469-151,21:20:47.64,-00:09:11.33,0.55,2.66,19.96,29.36,2.21,1.60,232.59,1.03,$\rm C^{\star}$
5891-56034-104,11:39:39.00,+16:51:58.52,0.28,2.48,17.89,47.57,2.09,2.82,206.90,1.00,$\rm C^{\star}$
6672-56386-474,12:01:59.03,+47:43:23.19,0.56,2.13,19.30,221.87,3.10,1.45,226.79,0.90,$\rm C^{\star}$
4603-55999-719,09:07:34.40,+42:55:28.56,0.64,2.35,19.93,108.51,5.24,1.69,139.33,0.33,B
11351-58440-437,10:13:23.75,+28:12:00.10,0.71,2.18,20.87,89.00,3.05,1.93,167.30,0.43,C
4440-55539-41,07:42:49.68,+33:41:48.99,0.49,2.36,19.47,50.18,2.63,1.94,249.24,1.20,$\rm C^{\star}$
4478-55600-135,08:30:52.17,+21:28:58.13,0.62,2.26,19.91,74.63,4.00,0.56,229.63,0.90,$\rm C^{\star}$
6605-56565-722,02:01:21.40,+32:28:29.67,0.40,2.82,18.33,30.60,3.68,3.15,258.23,1.44,$\rm B^{\star}$
5048-56218-801,22:28:25.77,+12:05:03.95,0.53,2.83,19.90,27.98,2.62,1.54,241.72,1.14,$\rm C^{\star}$
5439-56045-109,13:44:08.02,+16:21:27.99,0.50,2.36,19.29,51.70,3.77,1.38,204.02,0.80,$\rm A^{\star}$
4622-55629-615,11:10:40.43,+36:49:24.39,0.73,2.50,19.87,46.59,2.30,4.00,353.54,1.99,$\rm A^{\star}$
6281-56295-811,00:29:27.39,+25:44:01.78,0.59,2.45,19.22,37.75,1.88,1.85,212.65,0.81,$\rm C^{\star}$
6727-56369-967,15:16:41.22,+49:54:40.78,0.55,2.87,19.02,29.64,2.08,1.81,270.91,1.42,$\rm C^{\star}$
4976-56046-672,15:42:04.99,+40:19:54.69,0.44,2.50,18.78,42.53,3.68,3.46,242.52,1.21,$\rm A^{\star}$
6147-56239-163,23:17:31.62,+11:54:50.92,0.54,2.64,19.63,39.67,6.15,1.53,272.55,1.41,$\rm C^{\star}$
4399-55811-149,02:37:40.64,-06:41:12.99,0.49,2.25,19.23,38.16,2.24,1.90,0.00,0.00,$\rm C^{\star}$
5813-56363-341,09:18:07.86,+45:18:56.78,0.52,2.34,19.35,44.35,2.35,1.89,80.08,0.12,$\rm B^{\star}$
4615-55618-399,11:31:10.98,+35:50:20.72,0.47,2.30,19.76,37.94,2.87,1.04,102.04,0.20,$\rm C^{\star}$
6497-56329-271,14:13:58.21,+29:32:40.41,0.45,2.72,19.41,17.28,1.76,1.34,158.87,0.52,$\rm C^{\star}$
4315-55503-703,01:13:00.58,+02:50:46.21,0.62,2.61,19.46,29.16,2.64,2.99,697.90,8.65,$\rm B^{\star}$
4205-55454-645,22:45:05.93,+00:40:18.35,0.70,2.54,19.57,27.96,4.69,1.98,112.39,0.21,$\rm A^{\star}$
6435-56341-855,11:10:27.11,+28:08:38.46,0.61,2.40,19.91,33.31,2.74,2.89,193.52,0.66,$\rm C^{\star}$
6659-56607-751,10:29:01.23,+47:28:22.64,0.57,2.83,19.11,18.76,2.22,2.34,213.10,0.86,$\rm C^{\star}$
5463-56003-121,14:29:54.80,+12:02:35.58,0.55,2.83,19.60,24.19,3.59,2.98,339.91,2.22,$\rm A^{\star}$
6840-56685-377,12:41:44.24,+60:24:41.06,0.53,2.84,19.19,20.18,2.30,2.04,270.38,1.43,$\rm C^{\star}$
4209-55478-171,23:14:18.03,-01:10:27.03,0.52,2.27,19.85,25.44,2.01,1.42,279.95,1.46,$\rm C^{\star}$
5730-56607-697,09:18:59.21,+51:04:52.60,0.58,2.40,19.71,26.27,2.30,8.69,294.41,1.56,$\rm A^{\star}$
3802-55514-227,08:05:30.94,+38:09:23.36,0.56,2.27,19.00,33.51,2.29,1.92,304.99,1.67,C
3786-55563-480,10:43:48.35,-02:12:36.06,0.77,2.74,19.92,17.22,2.11,3.16,850.00,11.51,C
6521-56537-324,23:52:12.72,+21:45:26.18,0.51,2.92,19.74,15.63,2.10,1.82,196.01,0.76,$\rm C^{\star}$
5176-56221-583,08:43:00.14,+19:47:42.63,0.70,2.55,19.81,17.47,1.79,2.68,384.25,2.44,$\rm C^{\star}$
3952-55330-944,15:46:11.14,+28:05:42.59,0.30,2.71,17.95,21.08,2.11,3.95,215.58,1.07,$\rm C^{\star}$
5984-56337-186,12:41:32.92,+25:32:58.91,0.54,2.71,19.39,26.98,3.20,1.38,193.60,0.72,$\rm C^{\star}$
3683-55178-662,07:59:30.25,+44:12:45.56,0.47,2.89,19.76,11.64,1.84,1.27,192.75,0.76,$\rm C^{\star}$
11316-58396-95,21:15:36.90,+04:52:46.79,0.89,2.70,21.30,16.38,1.97,1.39,89.45,0.11,C
5068-55749-829,22:13:21.15,+09:02:41.06,0.63,2.67,19.80,17.82,1.99,1.36,224.06,0.89,$\rm C^{\star}$
3673-55178-795,07:48:31.92,+47:10:14.40,0.44,2.51,19.17,17.86,2.91,2.40,139.77,0.40,$\rm C^{\star}$
5366-55958-259,11:15:44.57,+08:47:17.16,0.55,2.89,19.55,16.40,2.19,2.07,235.26,1.07,$\rm C^{\star}$
6725-56390-772,14:43:17.84,+51:07:21.03,0.55,2.95,18.73,16.33,2.82,9.40,169.93,0.56,$\rm B^{\star}$
4619-55599-680,11:25:58.59,+33:56:47.11,0.48,2.92,19.46,15.45,1.98,0.15,196.24,0.78,$\rm C^{\star}$
3929-55335-927,16:11:57.06,+22:14:40.00,0.47,2.27,19.85,24.12,2.54,0.80,336.16,2.20,C
4091-55498-227,21:48:43.04,+04:44:36.11,0.66,2.70,19.85,10.73,1.63,1.00,375.63,2.46,$\rm C^{\star}$
4236-55479-117,02:17:42.02,-00:22:06.47,0.61,2.48,19.47,14.71,2.80,1.85,218.18,0.84,$\rm C^{\star}$
7162-56605-731,01:36:44.88,-06:46:56.69,0.67,2.95,19.90,12.04,2.12,3.08,224.43,0.89,$\rm C^{\star}$
8308-57417-911,07:56:50.15,+51:06:48.34,0.51,2.27,20.41,24.16,4.32,0.13,308.25,1.79,C
5069-56211-141,22:21:51.54,+07:24:00.24,0.75,2.51,19.65,14.69,1.79,1.41,308.02,1.49,$\rm C^{\star}$
4030-55634-117,14:18:15.73,+01:58:32.23,0.56,2.14,19.35,33.88,2.96,2.61,219.28,0.85,$\rm C^{\star}$
